brand,week_start,positive_ratio,neutral_ratio,negative_ratio,total_docs,top_keywords
hanwha,2026-01-19,0.5,0.5,0.0,2,"[""한화생명이"", ""대한민국"", ""선수가"", ""금융"", ""금융의""]"
hanwha,2026-01-26,0.0,1.0,0.0,1,"[""씨즌"", ""과제는"", ""오직"", ""하나"", ""인거""]"
hanwha,2026-03-09,0.0,1.0,0.0,2,"[""태아보험"", ""한화생명"", ""교보생명"", ""현대해상"", ""대출""]"
hanwha,2026-03-16,0.641,0.359,0.0,39,"[""한화이글스"", ""선수"", ""박주아"", ""이번"", ""류현진""]"
hanwha,2026-03-23,0.5,0.5,0.0,2,"[""실시간"", ""개막전"", ""넷플릭스로"", ""보고"", ""있는데""]"
hanwha,2026-03-30,1.0,0.0,0.0,1,"[""스포츠파이"", ""편으로"", ""처음"", ""알게됐는데"", ""내용도""]"
hanwha,2026-04-06,0.0,1.0,0.0,1,"[""정말"", ""멋진"", ""광고네요""]"
hanwha,2026-04-13,0.0,1.0,0.0,1,"[""박찬호"", ""박세리"", ""국민들"", ""영웅"", ""이었죠""]"
hanwha,2026-04-20,0.429,0.571,0.0,7,"[""이벤트"", ""참여"", ""한화생명"", ""댓글"", ""챌린지""]"
hanwha,2026-04-27,0.425,0.553,0.022,179,"[""후기"", ""대전"", ""한화생명"", ""한화생명볼파크"", ""구역""]"
hanwha,2026-05-04,0.318,0.653,0.029,173,"[""후기"", ""대전"", ""한화생명볼파크"", ""한화생명"", ""직관""]"
hanwha,2026-05-11,0.394,0.599,0.007,142,"[""대전"", ""후기"", ""한화생명"", ""한화생명볼파크"", ""직관""]"
kyobo,2025-09-01,0.45,0.55,0.0,20,"[""그리고"", ""저는"", ""야외"", ""자외선"", ""야외활동""]"
kyobo,2025-09-08,0.568,0.386,0.045,44,"[""건강을"", ""저는"", ""자외선"", ""물을"", ""자주""]"
kyobo,2025-09-15,0.561,0.404,0.035,57,"[""생활비"", ""같아요"", ""있어요"", ""통장"", ""저는""]"
kyobo,2025-09-22,0.661,0.306,0.032,62,"[""생활비"", ""저는"", ""저축"", ""생활비를"", ""작은""]"
kyobo,2025-09-29,0.175,0.7,0.125,40,"[""고치고"", ""소비"", ""습관을"", ""싶어요"", ""싶은""]"
kyobo,2025-10-06,0.196,0.536,0.268,56,"[""소비"", ""고치고"", ""싶어요"", ""진짜"", ""저는""]"
kyobo,2025-10-13,0.421,0.526,0.053,19,"[""건강을"", ""스트레칭을"", ""저는"", ""하고"", ""보면""]"
kyobo,2025-10-20,0.586,0.414,0.0,29,"[""있어요"", ""건강"", ""건강을"", ""점심"", ""작은""]"
kyobo,2025-10-27,0.611,0.352,0.037,54,"[""작은"", ""있어요"", ""스트레스를"", ""저는"", ""스트레스""]"
kyobo,2025-11-03,0.413,0.522,0.065,46,"[""스트레스"", ""저는"", ""스트레스를"", ""좋아하는"", ""마음이""]"
